[2025-04-22T10:31:45.125-0300] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-04-22T10:31:45.140-0300] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: integracao_api.integracao_api manual__2025-04-22T13:31:35.667282+00:00 [queued]>
[2025-04-22T10:31:45.148-0300] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: integracao_api.integracao_api manual__2025-04-22T13:31:35.667282+00:00 [queued]>
[2025-04-22T10:31:45.148-0300] {taskinstance.py:2867} INFO - Starting attempt 1 of 3
[2025-04-22T10:31:45.167-0300] {taskinstance.py:2890} INFO - Executing <Task(PythonOperator): integracao_api> on 2025-04-22 13:31:35.667282+00:00
[2025-04-22T10:31:45.173-0300] {standard_task_runner.py:72} INFO - Started process 17002 to run task
[2025-04-22T10:31:45.178-0300] {standard_task_runner.py:104} INFO - Running: ['airflow', 'tasks', 'run', 'integracao_api', 'integracao_api', 'manual__2025-04-22T13:31:35.667282+00:00', '--job-id', '91', '--raw', '--subdir', 'DAGS_FOLDER/dag_integration.py', '--cfg-path', '/tmp/tmpkj2173p9']
[2025-04-22T10:31:45.179-0300] {standard_task_runner.py:105} INFO - Job 91: Subtask integracao_api
[2025-04-22T10:31:45.217-0300] {task_command.py:467} INFO - Running <TaskInstance: integracao_api.integracao_api manual__2025-04-22T13:31:35.667282+00:00 [running]> on host jonathan-brito
[2025-04-22T10:31:45.300-0300] {taskinstance.py:3134} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='data_team' AIRFLOW_CTX_DAG_ID='integracao_api' AIRFLOW_CTX_TASK_ID='integracao_api' AIRFLOW_CTX_EXECUTION_DATE='2025-04-22T13:31:35.667282+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-04-22T13:31:35.667282+00:00'
[2025-04-22T10:31:45.302-0300] {logging_mixin.py:190} INFO - Task instance is in running state
[2025-04-22T10:40:27.859-0300] {logging_mixin.py:190} INFO - Enviados 100 registros (total: 2500 de 9994)
[2025-04-22T10:40:49.953-0300] {logging_mixin.py:190} INFO - Enviados 100 registros (total: 2600 de 9994)
[2025-04-22T10:41:11.990-0300] {logging_mixin.py:190} INFO - Enviados 100 registros (total: 2700 de 9994)
[2025-04-22T10:41:33.279-0300] {logging_mixin.py:190} INFO - Enviados 100 registros (total: 2800 de 9994)
[2025-04-22T10:41:54.806-0300] {logging_mixin.py:190} INFO - Enviados 100 registros (total: 2900 de 9994)
[2025-04-22T10:42:18.130-0300] {logging_mixin.py:190} INFO - Enviados 100 registros (total: 3000 de 9994)
[2025-04-22T10:42:40.269-0300] {logging_mixin.py:190} INFO - Enviados 100 registros (total: 3100 de 9994)
[2025-04-22T10:43:00.780-0300] {logging_mixin.py:190} INFO - Enviados 100 registros (total: 3200 de 9994)
[2025-04-22T10:43:23.427-0300] {logging_mixin.py:190} INFO - Enviados 100 registros (total: 3300 de 9994)
[2025-04-22T10:43:43.754-0300] {logging_mixin.py:190} INFO - Enviados 100 registros (total: 3400 de 9994)
[2025-04-22T10:44:03.622-0300] {logging_mixin.py:190} INFO - Enviados 100 registros (total: 3500 de 9994)
[2025-04-22T10:44:24.509-0300] {logging_mixin.py:190} INFO - Enviados 100 registros (total: 3600 de 9994)
[2025-04-22T10:44:45.707-0300] {logging_mixin.py:190} INFO - Enviados 100 registros (total: 3700 de 9994)
[2025-04-22T10:45:06.196-0300] {logging_mixin.py:190} INFO - Enviados 100 registros (total: 3800 de 9994)
[2025-04-22T10:45:29.533-0300] {logging_mixin.py:190} INFO - Enviados 100 registros (total: 3900 de 9994)
[2025-04-22T10:45:52.371-0300] {logging_mixin.py:190} INFO - Enviados 100 registros (total: 4000 de 9994)
[2025-04-22T10:46:16.044-0300] {logging_mixin.py:190} INFO - Enviados 100 registros (total: 4100 de 9994)
[2025-04-22T10:46:36.679-0300] {logging_mixin.py:190} INFO - Enviados 100 registros (total: 4200 de 9994)
[2025-04-22T10:46:55.793-0300] {logging_mixin.py:190} INFO - Enviados 100 registros (total: 4300 de 9994)
[2025-04-22T10:47:17.595-0300] {logging_mixin.py:190} INFO - Enviados 100 registros (total: 4400 de 9994)
[2025-04-22T10:47:41.656-0300] {logging_mixin.py:190} INFO - Enviados 100 registros (total: 4500 de 9994)
[2025-04-22T10:48:03.250-0300] {logging_mixin.py:190} INFO - Enviados 100 registros (total: 4600 de 9994)
[2025-04-22T10:48:25.384-0300] {logging_mixin.py:190} INFO - Enviados 100 registros (total: 4700 de 9994)
[2025-04-22T10:48:46.057-0300] {logging_mixin.py:190} INFO - Enviados 100 registros (total: 4800 de 9994)
[2025-04-22T10:49:06.446-0300] {logging_mixin.py:190} INFO - Enviados 100 registros (total: 4900 de 9994)
[2025-04-22T10:49:28.346-0300] {logging_mixin.py:190} INFO - Enviados 100 registros (total: 5000 de 9994)
[2025-04-22T10:49:51.206-0300] {logging_mixin.py:190} INFO - Enviados 100 registros (total: 5100 de 9994)
[2025-04-22T10:50:12.483-0300] {logging_mixin.py:190} INFO - Enviados 100 registros (total: 5200 de 9994)
